"gugunCode","gugunName","gigwanName","gigwanAddress","weekdayTime","saturdayTime","sundayTime","tel","info","lat","lng"
"1138000000","은평구","의료법인 청구성심병원","서울 은평구 통일로 873","09:00~17:00","미운영","09:00~17:00","350-3300","","37.62091934","126.9194234"
"1147000000","양천구","이화여자대학교의과대학부속목동병원","서울 양천구 안양천로 1071 ","09:00~11:30,13:00~15:30","미운영","미운영","1666-5000","","37.53658356","126.8864324"
"1156000000","영등포구","인봉의료재단 영등포병원","서울특별시 영등포구 당산로31길 10","09:00~16:30","09:00~11:00","미운영","010-5334-7708","","37.52697145","126.8959056"
"1114000000","중구","인제대학교서울백병원","서울 중구 마른내로 9 백병원","00:00~00:00","00:00~00:00","00:00~00:00","02-2270-0114","","37.56511368","126.9886989"
"1111000000","종로구","종로구보건소","서울 종로구 옥인동(청운효자동) 45-30 종로구보건소","09:00~21:00","09:00~18:00","09:00~18:00","02-2148-3725","","37.58193003","126.9692571"
"1126000000","중랑구","중랑구보건소","서울 중랑구 신내2동 662 중랑구청 ","09:00~12:00,13:00~18:00,18:30~21:00","09:00~13:00,14:00~18:00","09:00~13:00,14:00~18:00","02-2094-0800","전자문진표 이용, 의사소통 도움판0","37.60665077","127.0927722"
"1174000000","강동구","중앙보훈병원","서울 강동구 진황도로 61길 53","09:00~17:30","미운영","미운영","02-2225-1114","","37.52897367","127.1476066"
"1156000000","영등포구","한림대학교 강남성심병원","서울특별시 영등포구 신길로 1","08:30~16:30","08:30~11:30","미운영","1577-5587","","37.49287561","126.9088525"
"1120000000","성동구","한양대학교병원","서울특별시 성동구 왕십리로 222-1 (사근동)","09:00~17:30","09:00~12:30","미운영","02-2290-8114/8531","","37.56234781","127.046851"
"1132000000","도봉구","한일병원","서울시 도봉구 우이천로 308(쌍문동) ","9:00~17:30","미운영","미운영","02-901-3114","","37.65021998","127.0262293"
"1147000000","양천구","홍익병원","서울 양천구 목동로 225 ","09:00~12:30,13:30~17:00","09:00~12:30,13:30~17:00","09:00~12:30,13:30~17:00","02-2693-5555","청각장애인 화상통화전화번호 구비(화상전화기 구비는X), 진료 휠체어 진입가능","37.52846389","126.8636183"
"1154500000","금천구","희명병원","서울특별시 금천구 시흥대로 244","09:00~17:00","09:00~12:00","09:00~12:00","02-2219-7231","","37.45582053","126.9005666"
